Timestamp,PM2_5,PM10,O3_lcs_ppb,Carbon_Monoxide,Temp_lcs,RH_lcs,CO_lcs_ppm,CO_ref,O3_ref,RH_ref,Temp_ref,O3_baseline_cal,O3_ml_residual_cal
2025-03-13 22:00:00,10.10344828,11.10344828,16.36206897,328.7931034,25.70344828,21.55172414,0.3287931034,,,28.0,22.0,48.8358990530304,0.19144682726926415
2025-03-13 23:00:00,7.779661017,8.779661017,16.59322034,301.0677966,25.35254237,20.61016949,0.3010677966,,,28.0,21.0,49.225460606280315,-1.9059249997631567
2025-03-14 00:00:00,7.86440678,8.86440678,18.57627119,384.9152542,25.08135593,20.18474576,0.3849152542,,,27.0,20.0,50.209617386691434,4.203862783093628
2025-03-14 01:00:00,7.034482759,8.034482759,17.9137931,279.5862069,24.74137931,19.85517241,0.2795862068999999,,13.0,32.0,19.0,49.414870046983324,-20.002412918439532
2025-03-14 02:00:00,6.762711864,7.762711864,18.61016949,248.440678,24.23389831,19.76610169,0.248440678,,31.0,29.0,19.0,48.72934294335839,-13.936183172407809
2025-03-14 03:00:00,6.203389831,7.203389831,19.23728814,239.7966102,24.17966102,19.35762712,0.2397966102,,46.0,27.0,19.0,49.4720923019689,-5.472108796747552
2025-03-14 04:00:00,5.948275862,6.948275862,19.67241379,251.5862069,23.98965517,19.05,0.2515862069,,52.0,27.0,18.0,49.67271909057615,0.9534147913581239
2025-03-14 05:00:00,14.10169492,15.10169492,24.98305085,392.9491525,23.75254237,21.82542373,0.3929491525,,9.0,35.0,16.0,48.75958589025563,-31.339421348713767
2025-03-14 06:00:00,26.30508475,27.86440678,28.93220339,533.0677966,23.40169492,23.49322034,0.5330677965999999,,3.0,40.0,15.0,48.26830196603385,-34.64883575875896
2025-03-14 07:00:00,22.6779661,23.93220339,26.88135593,834.1864407,23.9559322,22.92881356,0.8341864407,,4.0,39.0,15.0,48.98653258552641,-30.15161905461777
2025-03-14 08:00:00,22.36206897,23.70689655,27.10344828,1042.534483,24.47758621,22.04655172,1.0425344829999998,,4.0,39.0,15.0,51.36473869422257,-31.363920447177023
2025-03-14 09:00:00,13.45762712,14.45762712,24.81355932,799.6610169,24.80338983,20.73050847,0.7996610169,,12.0,31.0,18.0,52.42512548578155,-17.347676609748035
2025-03-14 10:00:00,16.01724138,17.13793103,29.79310345,554.862069,24.91896552,19.31724138,0.554862069,,37.0,22.0,20.0,57.29809886643104,-8.384608469986128
2025-03-14 11:00:00,9.813559322,10.83050847,35.3220339,414.9322034,24.48644068,21.95423729,0.4149322034,,,,,56.18973799734233,-12.771252007310773
2025-03-14 12:00:00,14.33898305,15.44067797,19.49152542,296.9830508,24.38135593,19.43728814,0.2969830508,,,11.0,24.0,49.98498430022619,-6.962137146041723
2025-03-14 13:00:00,39.62068966,41.25862069,42.77586207,358.4655172,24.64655172,24.27931034,0.3584655172,0.4,59.0,6.0,26.0,58.09227842560615,-1.7611235255341111
2025-03-14 14:00:00,13.08474576,14.08474576,32.45762712,406.5932203,24.98135593,24.33559322,0.4065932203,0.3,60.0,5.0,27.0,52.941188320675955,10.577494315926728
2025-03-14 15:00:00,8.137931034,9.137931034,20.98275862,434.362069,25.20517241,23.58965517,0.434362069,,70.0,6.0,28.0,47.80181534324201,25.684740872212842
