Timestamp,PM2_5,PM10,O3_lcs_ppb,Carbon_Monoxide,Temp_lcs,RH_lcs,CO_lcs_ppm,CO_ref,O3_ref,RH_ref,Temp_ref,O3_baseline_cal,O3_ml_cal
2025-03-11 19:00:00,12.12068966,13.12068966,28.15517241,873.1724138,25.89482759,28.15172414,0.8731724138,,,30.0,24.0,53.543896380647055,55.250707293539286
2025-03-11 20:00:00,15.72881356,16.74576271,33.83050847,1142.20339,26.0,30.38813559,1.14220339,,,33.0,23.0,56.17687696872463,46.84795238095237
2025-03-11 21:00:00,14.89830508,15.89830508,25.18644068,1013.559322,25.98305085,28.87966102,1.013559322,,,37.0,21.0,52.21020169061197,52.38997089947089
2025-03-11 22:00:00,16.93103448,17.93103448,22.5,1003.982759,25.85517241,26.70172414,1.003982759,,,36.0,20.0,50.9662339819447,44.35899470899471
2025-03-11 23:00:00,17.25423729,18.27118644,20.54237288,857.4576271,25.74745763,26.06779661,0.8574576271,,,34.0,20.0,49.701551200276754,60.788753968254
2025-03-12 00:00:00,15.43103448,16.43103448,21.13793103,796.8103448,25.64827586,26.5137931,0.7968103448,,,36.0,19.0,49.428110485962975,46.315587301587314
2025-03-12 01:00:00,17.27118644,18.27118644,23.49152542,903.6101695,25.50677966,27.32033898,0.9036101695,,,39.0,18.0,49.74366101699425,51.83543253968254
2025-03-12 02:00:00,17.50847458,18.50847458,21.40677966,810.6440678,25.29661017,27.12542373,0.8106440678,,,43.0,17.0,47.828963272344524,55.8577619047619
2025-03-12 03:00:00,10.70689655,11.70689655,16.82758621,583.5172414,25.06206897,23.05,0.5835172413999999,,,45.0,16.0,45.747828414726186,57.945878306878285
2025-03-12 04:00:00,9.186440678,10.18644068,16.94915254,516.2711864,24.87288136,21.75762712,0.5162711864,,,39.0,16.0,45.37658560552512,44.72231216931218
2025-03-12 05:00:00,12.5,13.5,18.93103448,534.1551724,24.68103448,23.55344828,0.5341551724,,,43.0,15.0,44.977921087816114,39.629601851851845
2025-03-12 06:00:00,21.76271186,22.96610169,23.08474576,657.4237288,24.54915254,26.17288136,0.6574237288,,,47.0,15.0,45.683462902505696,34.41389153439154
2025-03-12 07:00:00,22.45762712,23.71186441,25.18644068,1155.169492,24.55254237,27.00677966,1.155169492,,,45.0,14.0,46.50044627978204,25.65777248677249
2025-03-12 08:00:00,20.65517241,21.79310345,30.53448276,1181.206897,24.77758621,25.37931034,1.181206897,,,44.0,15.0,50.68849605088809,49.3773531746032
2025-03-12 09:00:00,21.16949153,22.3220339,43.23728814,1129.576271,24.9,24.5220339,1.129576271,,,35.0,17.0,57.89555105307569,59.153126984126985
2025-03-12 10:00:00,22.68965517,24.0,56.01724138,1011.448276,25.0,24.55,1.011448276,,,31.0,19.0,64.76961548427883,64.67864285714288
2025-03-12 11:00:00,26.69491525,28.45762712,61.81355932,917.6949153,25.05932203,23.08474576,0.9176949153,,,27.0,21.0,68.40511133827056,78.4675873015873
2025-03-12 12:00:00,21.0862069,22.25862069,63.70689655,828.9655172,25.22931034,21.83965517,0.8289655172,,,22.0,23.0,70.49135457120943,73.60548845598848
