Timestamp,PM2.5_Data,PM10*_Data,Ozone_Data,Carbon_Monoxide_Data,Temperature_Data,Relative_Humidity_Data
08/03/2023 02:35:36,7,8,29,287,13.83,43.60
08/03/2023 02:40:36,8,9,29,288,13.80,43.53
08/03/2023 02:45:35,7,8,30,287,13.73,44.03
08/03/2023 02:50:35,6,7,28,285,13.63,44.30
08/03/2023 02:55:36,6,7,28,285,13.53,44.53
08/03/2023 03:00:35,6,7,27,287,13.43,45.00
08/03/2023 03:05:35,7,8,27,286,13.23,46.13
08/03/2023 03:10:35,7,8,25,288,13.13,46.30
08/03/2023 03:15:35,8,9,26,288,13.03,46.27
08/03/2023 03:20:35,7,8,29,289,13.00,46.57
08/03/2023 03:25:34,7,8,24,288,12.93,46.53
08/03/2023 03:30:34,7,8,27,288,12.80,46.10
08/03/2023 03:35:34,6,7,29,292,12.60,46.30
08/03/2023 03:40:34,6,7,26,293,12.43,46.10
08/03/2023 03:45:50,6,7,27,290,12.40,45.70
08/03/2023 03:50:34,7,8,28,288,12.43,45.63
08/03/2023 03:55:33,6,7,27,290,12.40,46.60
08/03/2023 04:00:33,6,7,26,288,12.23,46.77
08/03/2023 04:05:33,6,7,27,286,12.13,47.37
08/03/2023 04:10:33,6,7,26,285,11.97,47.50
08/03/2023 04:15:33,6,7,28,284,11.83,47.40
08/03/2023 04:20:33,6,7,26,283,11.80,48.30
08/03/2023 04:25:32,6,7,25,283,11.70,48.80
08/03/2023 04:30:33,6,7,24,282,11.57,48.80
08/03/2023 04:35:32,6,7,23,281,11.47,49.43
08/03/2023 04:40:33,7,8,30,283,11.40,49.17
08/03/2023 04:45:31,6,7,27,285,11.40,49.03
08/03/2023 04:50:32,6,7,25,284,11.40,47.90
08/03/2023 04:55:32,5,6,26,283,11.43,47.43
08/03/2023 05:00:31,6,7,27,283,11.40,48.43
08/03/2023 05:05:31,6,7,29,282,11.23,49.53
08/03/2023 05:10:31,5,6,26,283,11.13,50.03
08/03/2023 05:15:30,5,6,25,282,10.90,49.30
08/03/2023 05:20:31,5,6,24,281,10.77,49.83
08/03/2023 05:25:30,5,6,25,284,10.63,50.63
08/03/2023 05:30:30,5,6,26,286,10.53,50.80
08/03/2023 05:35:30,6,7,25,292,10.47,50.73
08/03/2023 05:40:30,6,7,27,289,10.40,51.80
08/03/2023 05:45:30,6,7,24,289,10.37,52.07
08/03/2023 05:50:29,6,7,25,292,10.30,52.00
08/03/2023 05:55:29,5,6,26,300,10.37,52.27
08/03/2023 06:00:29,6,7,25,299,10.40,52.60
08/03/2023 06:05:29,7,8,26,298,10.37,52.67
08/03/2023 06:10:29,7,8,26,308,10.27,53.47
08/03/2023 06:15:28,8,9,25,334,10.07,53.80
08/03/2023 06:20:32,8,9,26,357,9.93,53.77
08/03/2023 06:25:29,7,8,28,377,9.83,54.50
08/03/2023 06:30:28,8,9,31,413,6.53,37.07
08/03/2023 06:35:28,7,8,26,422,10.00,55.10
08/03/2023 06:40:28,8,9,29,420,10.17,54.60
08/03/2023 06:45:28,8,9,29,412,10.27,54.33
08/03/2023 06:50:27,8,9,30,442,10.30,54.37
08/03/2023 06:55:27,8,9,26,452,10.30,54.27
08/03/2023 07:00:27,10,11,27,464,6.80,36.50
08/03/2023 07:05:27,9,10,26,561,10.07,54.50
08/03/2023 07:10:27,10,11,28,588,10.17,54.17
08/03/2023 07:15:26,10,11,25,621,10.50,53.47
08/03/2023 07:20:26,9,10,25,603,11.07,53.07
08/03/2023 07:25:26,10,11,25,652,11.73,51.33
08/03/2023 07:30:26,9,10,27,710,12.53,48.73
08/03/2023 07:35:26,7,8,24,710,9.00,29.90
08/03/2023 07:40:26,11,12,26,876,14.27,43.93
08/03/2023 07:45:25,7,8,24,753,14.73,41.10
08/03/2023 07:50:26,8,9,24,720,15.20,40.83
08/03/2023 07:55:25,11,12,26,872,15.80,41.80
08/03/2023 08:00:25,16,17,27,857,16.33,42.47
08/03/2023 08:05:25,20,21,28,822,16.77,42.63
08/03/2023 08:10:25,24,25,29,903,16.87,43.47
08/03/2023 08:15:25,24,25,30,916,17.10,44.17
08/03/2023 08:20:24,22,23,28,924,17.57,44.07
08/03/2023 08:25:25,25,26,26,978,18.67,42.20
08/03/2023 08:30:24,29,31,26,987,19.73,40.10
08/03/2023 08:35:25,26,28,25,1010,13.37,26.30
08/03/2023 08:40:25,25,27,25,1108,20.77,38.93
08/03/2023 08:45:24,24,25,24,1203,21.83,37.73
08/03/2023 08:50:24,27,29,25,1322,22.37,36.50
08/03/2023 08:55:24,33,35,27,1484,22.20,36.47
08/03/2023 09:00:23,30,32,31,1625,22.37,36.70
08/03/2023 09:05:24,33,35,32,1679,22.60,36.43
08/03/2023 09:10:23,35,37,31,1686,23.30,35.90
08/03/2023 09:15:23,37,39,35,1730,23.40,35.53
08/03/2023 09:20:23,35,37,35,1640,23.43,35.53
08/03/2023 09:25:23,41,43,34,1591,23.80,34.33
08/03/2023 09:30:23,35,37,33,1469,23.30,34.13
08/03/2023 09:35:22,38,40,35,1363,22.80,34.27
08/03/2023 09:40:23,39,41,38,1434,22.97,34.53
08/03/2023 09:45:22,33,35,38,1328,23.57,33.60
08/03/2023 09:50:22,32,34,40,1300,23.53,33.13
08/03/2023 09:55:23,36,38,40,1309,24.63,32.60
08/03/2023 10:00:22,36,38,40,1307,17.53,20.83
08/03/2023 10:05:23,31,33,42,1275,25.93,30.70
08/03/2023 10:10:23,33,35,45,1240,25.77,30.87
08/03/2023 10:15:22,30,32,40,1195,26.90,29.90
08/03/2023 10:20:24,36,38,44,1277,27.53,29.67
08/03/2023 10:25:22,34,36,46,1308,28.00,29.40
08/03/2023 10:30:22,37,39,44,1249,27.33,28.93
08/03/2023 10:35:21,36,38,46,1144,8.57,9.57
08/03/2023 10:40:21,37,39,50,1113,26.13,28.73
08/03/2023 10:45:21,32,34,53,1150,27.37,28.80
08/03/2023 10:50:21,38,40,51,1141,28.17,28.30
08/03/2023 10:55:22,35,37,55,1105,27.83,27.83
08/03/2023 11:00:21,38,40,54,1078,27.97,27.57
08/03/2023 11:05:20,40,42,59,1098,28.07,27.80
08/03/2023 11:10:21,34,36,59,1067,28.63,27.67
08/03/2023 11:15:20,34,36,55,1012,29.03,26.07
08/03/2023 11:20:21,38,40,58,1034,28.67,25.80
08/03/2023 11:25:20,31,33,57,1033,29.07,25.67
08/03/2023 11:30:21,38,40,59,989,29.80,24.93
08/03/2023 11:35:21,40,42,63,1085,30.17,24.50
08/03/2023 11:40:20,19,20,44,832,28.43,21.63
08/03/2023 11:45:20,26,27,45,679,27.83,21.13
08/03/2023 11:50:20,22,23,49,677,28.97,21.47
08/03/2023 11:55:21,25,27,52,698,30.30,21.33
08/03/2023 12:00:20,18,19,49,634,30.53,20.30
08/03/2023 12:05:20,18,19,46,597,19.93,13.13
08/03/2023 12:10:20,19,20,54,606,30.40,20.47
08/03/2023 12:15:20,19,20,55,592,29.73,19.93
08/03/2023 12:20:20,19,20,62,599,30.43,20.07
08/03/2023 12:25:20,19,20,63,639,31.27,20.70
08/03/2023 12:30:20,15,16,60,589,30.70,19.77
08/03/2023 12:35:20,17,18,56,566,30.30,19.17
08/03/2023 12:40:20,13,14,58,555,30.83,19.40
08/03/2023 12:45:20,10,11,54,534,30.80,18.90
08/03/2023 12:50:20,13,14,56,502,29.50,18.53
08/03/2023 12:55:19,7,8,54,479,29.57,18.53
08/03/2023 13:00:19,7,8,49,459,31.00,18.70
08/03/2023 13:05:19,6,7,51,452,30.20,17.97
08/03/2023 13:10:19,5,6,48,419,29.13,17.83
08/03/2023 13:15:19,6,7,51,411,28.57,18.43
08/03/2023 13:20:19,6,7,53,413,29.63,19.10
08/03/2023 13:25:19,6,7,56,413,30.30,18.87
08/03/2023 13:30:18,7,8,51,410,29.73,18.50
08/03/2023 13:35:18,6,7,57,407,29.23,18.43
08/03/2023 13:40:18,8,9,54,409,29.00,18.20
08/03/2023 13:45:18,5,6,55,400,29.33,18.57
08/03/2023 13:50:18,6,7,59,397,19.47,12.70
08/03/2023 13:55:18,8,9,59,398,28.63,18.63
08/03/2023 14:00:17,6,7,60,393,28.93,18.70
08/03/2023 14:05:18,5,6,56,380,29.00,18.37
08/03/2023 14:10:18,6,7,59,366,29.20,18.40
08/03/2023 14:15:18,5,6,60,373,29.00,18.33
08/03/2023 14:20:17,5,6,55,375,30.23,18.43
08/03/2023 14:25:17,7,8,54,382,30.67,17.43
08/03/2023 14:30:18,6,7,58,384,30.80,17.83
08/03/2023 14:35:18,6,7,59,381,30.77,18.00
08/03/2023 14:40:17,7,8,57,388,30.60,17.87
08/03/2023 14:45:17,8,9,59,388,30.37,17.80
08/03/2023 14:50:17,10,11,65,387,29.67,18.33
08/03/2023 14:55:16,8,9,66,387,30.13,18.70
08/03/2023 15:00:15,7,8,63,377,30.43,18.47
08/03/2023 15:05:17,8,9,65,395,31.27,18.63
08/03/2023 15:10:16,7,8,62,412,32.40,18.77
08/03/2023 15:15:15,7,8,65,419,31.27,18.87
08/03/2023 15:20:16,7,8,63,413,30.80,18.47
08/03/2023 15:25:15,7,8,60,413,20.53,12.20
08/03/2023 15:30:16,7,8,61,413,30.57,18.33
08/03/2023 15:35:15,6,7,58,409,30.57,18.70
08/03/2023 15:40:15,6,7,59,392,29.67,18.50
08/03/2023 15:45:15,6,7,58,399,30.80,18.80
08/03/2023 15:50:15,6,7,57,403,31.03,18.43
08/03/2023 15:55:15,5,6,54,390,30.57,18.40
08/03/2023 16:00:14,4,5,55,387,30.87,18.90
08/03/2023 16:05:15,6,7,54,382,31.13,18.47
08/03/2023 16:10:15,6,7,50,382,30.90,18.17
08/03/2023 16:15:14,10,11,51,377,30.43,18.13
08/03/2023 16:20:14,14,15,53,370,30.33,18.33
08/03/2023 16:25:15,12,13,55,383,30.10,18.50
08/03/2023 16:30:14,28,30,54,373,29.90,18.27
08/03/2023 16:35:15,24,26,49,380,29.63,18.37
08/03/2023 16:40:14,17,18,53,386,29.73,18.63
08/03/2023 16:45:14,17,18,51,384,29.27,18.60
08/03/2023 16:50:14,11,12,53,384,29.13,18.63
08/03/2023 16:55:13,14,15,53,376,28.67,18.53
08/03/2023 17:00:13,14,15,53,366,28.27,18.37
08/03/2023 17:05:13,13,14,52,362,28.47,18.60
08/03/2023 17:10:13,12,13,50,367,28.97,18.70
08/03/2023 17:15:13,8,9,53,374,28.97,18.70
08/03/2023 17:20:13,10,11,49,363,28.80,18.57
08/03/2023 17:25:13,9,10,48,355,28.20,18.23
08/03/2023 17:30:13,9,10,49,380,28.27,18.53
08/03/2023 17:35:13,7,8,51,377,27.97,18.77
08/03/2023 17:40:13,8,9,52,362,27.77,18.73
08/03/2023 17:45:13,7,8,50,377,27.90,18.87
08/03/2023 17:50:13,8,9,50,369,27.73,18.90
08/03/2023 17:55:12,10,11,49,375,27.33,18.87
08/03/2023 18:00:12,9,10,51,366,27.00,18.93
